,Market_Segment,Vertical_Market,Region,Net_Price,buys_both
12981,COMMERCIAL,Manufacturing,GEO_1,2.8602779120000004,1
12982,COMMERCIAL,Retail,GEO_2,2.859998845,1
12983,PUBLIC SECTOR,Health Care,GEO_2,2.859529616,1
12984,SMB,Technical Services,GEO_2,2.859352545,0
12985,PUBLIC SECTOR,Education- Public/Private,GEO_2,2.8582024655000002,0
12986,PUBLIC SECTOR,Education- Public/Private,GEO_2,2.857784638,0
12987,COMMERCIAL,Health Care,GEO_2,2.8574467305,1
12988,OTHER,Technical Services,GEO_1,2.857027305,1
12989,COMMERCIAL,Unknown,GEO_2,2.8566325077999997,1
12990,SMB,Technical Services,GEO_2,2.856460615,0
12991,ENTERPRISE,Financial Services,GEO_1,2.8563932760000004,1
12992,COMMERCIAL,Technical Services,GEO_3,2.856327585666667,1
12993,SMB,Financial Services,GEO_1,2.856233785,0
12994,SMB,WholeSale/Distribution,GEO_3,2.856039752,0
12995,SMB,Technical Services,GEO_1,2.8556355561249998,1
12996,SERVICE PROVIDER,Service Provider,GEO_3,2.855056741,0
12997,PUBLIC SECTOR,Government,GEO_2,2.855023587,1
12998,COMMERCIAL,Professional Services,GEO_2,2.854984327,0
12999,PUBLIC SECTOR,Education- Public/Private,GEO_2,2.854756286,0
13000,PUBLIC SECTOR,Education- Public/Private,GEO_2,2.854756286,0
13001,COMMERCIAL,Manufacturing,GEO_3,2.854756286,0
13002,PUBLIC SECTOR,Education- Public/Private,GEO_2,2.854756286,0
13003,COMMERCIAL,Professional Services,GEO_1,2.8531947423333333,1
13004,COMMERCIAL,Manufacturing,GEO_2,2.85198785,0
13005,PUBLIC SECTOR,Government,GEO_2,2.85137837025,1
13006,PUBLIC SECTOR,Education- Public/Private,GEO_2,2.8511657683333334,1
13007,COMMERCIAL,Manufacturing,GEO_2,2.850962378,0
13008,PUBLIC SECTOR,Education- Public/Private,GEO_2,2.850801127,0
13009,PUBLIC SECTOR,Government,GEO_2,2.8497026605,0
13010,COMMERCIAL,Government,GEO_3,2.849698769,0
13011,SMB,Unknown,GEO_1,2.848641757,0
13012,SMB,WholeSale/Distribution,GEO_2,2.848170726,1
13013,ENTERPRISE,Retail,GEO_3,2.847691143,1
13014,PUBLIC SECTOR,Financial Services,GEO_2,2.8474712246666667,0
13015,COMMERCIAL,Health Care,GEO_3,2.847099644,0
13016,COMMERCIAL,Professional Services,GEO_2,2.8467575236666662,1
13017,PUBLIC SECTOR,Education- Public/Private,GEO_2,2.8466701425,0
13018,COMMERCIAL,Professional Services,GEO_2,2.846599495,1
13019,SMB,Media/Entertainment,GEO_2,2.8465879506666667,1
13020,SMB,Professional Services,GEO_2,2.8464174555,1
13021,SMB,Manufacturing,GEO_3,2.845995739,1
13022,PUBLIC SECTOR,Government,GEO_2,2.8455812178,1
13023,ENTERPRISE,Financial Services,GEO_1,2.84551121475,0
13024,COMMERCIAL,Unknown,GEO_2,2.8453384760000002,1
13025,PUBLIC SECTOR,Government,GEO_2,2.8453384760000002,1
13026,SMB,Manufacturing,GEO_2,2.8453384760000002,1
13027,PUBLIC SECTOR,Professional Services,GEO_2,2.8453384760000002,1
13028,SMB,Retail,GEO_2,2.8453384760000002,1
13029,PUBLIC SECTOR,Government,GEO_2,2.8453384760000002,1
13030,COMMERCIAL,Manufacturing,GEO_2,2.845338473,1
13031,COMMERCIAL,Financial Services,GEO_2,2.8453347415,1
13032,SMB,Professional Services,GEO_1,2.8445162475,0
13033,COMMERCIAL,Professional Services,GEO_1,2.8442353049999998,1
13034,COMMERCIAL,Manufacturing,GEO_1,2.8442353049999998,1
13035,PUBLIC SECTOR,Government,GEO_2,2.843839289,0
13036,COMMERCIAL,Health Care,GEO_2,2.843790029,1
13037,SERVICE PROVIDER,Unknown,GEO_2,2.843726573,0
13038,COMMERCIAL,Financial Services,GEO_1,2.843220349,0
13039,PUBLIC SECTOR,Government,GEO_2,2.8421865443333334,0
13040,COMMERCIAL,WholeSale/Distribution,GEO_2,2.8421124293333335,1
13041,SMB,Health Care,GEO_1,2.8418405245000002,1
13042,SMB,Hospitality/Hotels & Leisure,GEO_1,2.8418405245000002,1
13043,SMB,Professional Services,GEO_2,2.841691035,1
13044,ENTERPRISE,Manufacturing,GEO_1,2.8415421606666666,1
13045,PUBLIC SECTOR,Government,GEO_1,2.8415377826666663,1
13046,SMB,Technical Services,GEO_2,2.8414530845000003,0
13047,COMMERCIAL,Professional Services,GEO_2,2.8413992995000004,1
13048,COMMERCIAL,Energy/Utilities,GEO_2,2.840934871,0
13049,PUBLIC SECTOR,Education- Public/Private,GEO_2,2.840876112,0
13050,PUBLIC SECTOR,Unknown,GEO_1,2.840876092,0
13051,SMB,Technical Services,GEO_2,2.840876053,0
13052,COMMERCIAL,Media/Entertainment,GEO_1,2.840710682,0
13053,PUBLIC SECTOR,Government,GEO_3,2.8403416316666665,0
13054,ENTERPRISE,Manufacturing,GEO_3,2.8401578648333334,1
13055,ENTERPRISE,Financial Services,GEO_2,2.84003298,0
13056,SMB,Retail,GEO_2,2.8395949135,0
13057,COMMERCIAL,Manufacturing,GEO_2,2.839579837,0
13058,COMMERCIAL,Retail,GEO_2,2.839364899,0
13059,PUBLIC SECTOR,Professional Services,GEO_2,2.839263387,1
13060,SMB,WholeSale/Distribution,GEO_1,2.8391911710000004,1
13061,COMMERCIAL,WholeSale/Distribution,GEO_2,2.838977763,0
13062,COMMERCIAL,Financial Services,GEO_2,2.8388522885,1
13063,COMMERCIAL,Technical Services,GEO_2,2.8388522885,1
13064,ENTERPRISE,Professional Services,GEO_1,2.8387538525,0
13065,SMB,Service Provider,GEO_2,2.8386501795,0
13066,COMMERCIAL,WholeSale/Distribution,GEO_1,2.8383104243333332,1
13067,COMMERCIAL,Financial Services,GEO_2,2.8379067460000003,0
13068,OTHER,Media/Entertainment,GEO_1,2.8377723695,1
13069,COMMERCIAL,Technical Services,GEO_2,2.8374364444999998,0
13070,COMMERCIAL,WholeSale/Distribution,GEO_1,2.837165285,0
13071,PUBLIC SECTOR,Education- Public/Private,GEO_2,2.8368410424999997,0
13072,COMMERCIAL,Professional Services,GEO_2,2.8366888676666666,1
13073,COMMERCIAL,Government,GEO_2,2.836545641,0
13074,COMMERCIAL,Financial Services,GEO_2,2.836511149,0
13075,SMB,Unknown,GEO_1,2.8364319016666664,1
13076,PUBLIC SECTOR,Energy/Utilities,GEO_1,2.836406859,0
13077,ENTERPRISE,Hospitality/Hotels & Leisure,GEO_2,2.8360631195000003,1
13078,COMMERCIAL,Manufacturing,GEO_2,2.8359113975,1
13079,ENTERPRISE,Unknown,GEO_3,2.835769667,0
13080,COMMERCIAL,Retail,GEO_1,2.835691655333333,1
13081,SERVICE PROVIDER,Manufacturing,GEO_2,2.83541508075,1
13082,ENTERPRISE,Technical Services,GEO_2,2.835395172,1
13083,COMMERCIAL,Media/Entertainment,GEO_2,2.8352874900000002,0
13084,COMMERCIAL,WholeSale/Distribution,GEO_3,2.8352525146666667,1
13085,COMMERCIAL,Unknown,GEO_3,2.835198008,0
13086,PUBLIC SECTOR,Education- Public/Private,GEO_2,2.8349935674999998,0
13087,COMMERCIAL,Financial Services,GEO_2,2.834866179,0
13088,ENTERPRISE,Financial Services,GEO_2,2.8347823085,0
13089,COMMERCIAL,Unknown,GEO_3,2.834572694333333,0
13090,PUBLIC SECTOR,Professional Services,GEO_2,2.834206324,1
13091,SMB,Technical Services,GEO_1,2.8340278153333336,1
13092,PUBLIC SECTOR,Government,GEO_2,2.833766869,0
13093,PUBLIC SECTOR,Education- Public/Private,GEO_2,2.833766869,0
13094,PUBLIC SECTOR,Government,GEO_1,2.83366731,0
13095,COMMERCIAL,Technical Services,GEO_2,2.833584032333333,1
13096,PUBLIC SECTOR,Government,GEO_3,2.832887515,0
13097,SMB,WholeSale/Distribution,GEO_2,2.832742968,1
13098,PUBLIC SECTOR,Education- Public/Private,GEO_2,2.8327078574,1
13099,COMMERCIAL,Retail,GEO_2,2.8326860486666665,0
13100,PUBLIC SECTOR,Education- Public/Private,GEO_2,2.8326574366666666,0
13101,SMB,WholeSale/Distribution,GEO_1,2.8325065523333333,1
13102,COMMERCIAL,Professional Services,GEO_2,2.831977681666667,1
13103,COMMERCIAL,Technical Services,GEO_2,2.831971342,0
13104,SMB,Health Care,GEO_2,2.8319329176666663,1
13105,ENTERPRISE,Financial Services,GEO_1,2.8317770920000003,0
13106,COMMERCIAL,WholeSale/Distribution,GEO_2,2.83145123,0
13107,PUBLIC SECTOR,Education- Public/Private,GEO_2,2.8314384165,0
13108,COMMERCIAL,Professional Services,GEO_2,2.8312022043333336,1
13109,COMMERCIAL,Professional Services,GEO_2,2.830890457,0
13110,SMB,Professional Services,GEO_2,2.830647709,1
13111,ENTERPRISE,Financial Services,GEO_2,2.830582917,0
13112,COMMERCIAL,Technical Services,GEO_3,2.83053767,0
13113,COMMERCIAL,Retail,GEO_2,2.8303461839999997,1
13114,PUBLIC SECTOR,Energy/Utilities,GEO_3,2.8302598910000003,0
13115,COMMERCIAL,Retail,GEO_3,2.830137558666667,1
13116,COMMERCIAL,Financial Services,GEO_2,2.829947503,0
13117,SMB,Professional Services,GEO_1,2.829565911,0
13118,COMMERCIAL,Media/Entertainment,GEO_2,2.8295430565000004,0
13119,PUBLIC SECTOR,Government,GEO_2,2.8290534865,1
13120,SMB,Energy/Utilities,GEO_1,2.8288743183333334,1
13121,SMB,Health Care,GEO_2,2.8287483445,1
13122,COMMERCIAL,Technical Services,GEO_1,2.828559446,0
13123,COMMERCIAL,Retail,GEO_3,2.828357934,0
13124,COMMERCIAL,Financial Services,GEO_2,2.828277654333333,1
13125,COMMERCIAL,Technical Services,GEO_2,2.828156309,0
13126,COMMERCIAL,Financial Services,GEO_3,2.8279407489999997,0
13127,COMMERCIAL,Technical Services,GEO_1,2.8274862845,1
13128,PUBLIC SECTOR,Government,GEO_1,2.8274862845,1
13129,ENTERPRISE,Financial Services,GEO_2,2.827308447,0
13130,PUBLIC SECTOR,Education- Public/Private,GEO_1,2.8271751037999997,1
13131,COMMERCIAL,Professional Services,GEO_1,2.826500186,1
13132,PUBLIC SECTOR,Energy/Utilities,GEO_2,2.826499465,0
13133,SMB,WholeSale/Distribution,GEO_2,2.8264565635,1
13134,SMB,Health Care,GEO_2,2.825963048,0
13135,SMB,Technical Services,GEO_2,2.8250526039999997,0
13136,SMB,Manufacturing,GEO_1,2.824912613,1
13137,PUBLIC SECTOR,Education- Public/Private,GEO_2,2.824351602,1
13138,PUBLIC SECTOR,Government,GEO_1,2.824287293,0
13139,ENTERPRISE,Health Care,GEO_2,2.8240223634,1
13140,COMMERCIAL,Manufacturing,GEO_1,2.823757938,0
13141,COMMERCIAL,Professional Services,GEO_2,2.823578664333333,1
13142,SMB,Retail,GEO_2,2.8233426362857146,1
13143,PUBLIC SECTOR,Education- Public/Private,GEO_2,2.823087418,1
13144,ENTERPRISE,Manufacturing,GEO_3,2.822744285,0
13145,PUBLIC SECTOR,Government,GEO_2,2.8225699890000002,1
13146,ENTERPRISE,Manufacturing,GEO_3,2.8224903007999997,1
13147,PUBLIC SECTOR,Unknown,GEO_1,2.822472652,0
13148,ENTERPRISE,Technical Services,GEO_2,2.8223918494999998,0
13149,COMMERCIAL,Manufacturing,GEO_1,2.82228873,0
13150,COMMERCIAL,Manufacturing,GEO_2,2.8219521700000003,0
13151,PUBLIC SECTOR,Government,GEO_1,2.82177743,0
13152,COMMERCIAL,Technical Services,GEO_2,2.821505646625,1
13153,COMMERCIAL,Professional Services,GEO_2,2.821245062,0
13154,ENTERPRISE,Manufacturing,GEO_3,2.820670891,0
13155,COMMERCIAL,Media/Entertainment,GEO_2,2.820592626333333,1
13156,SERVICE PROVIDER,Service Provider,GEO_1,2.819479445,0
13157,SMB,Financial Services,GEO_3,2.819191342,0
13158,SMB,Financial Services,GEO_2,2.819062140333333,1
13159,COMMERCIAL,Energy/Utilities,GEO_2,2.818635177,0
13160,ENTERPRISE,Financial Services,GEO_1,2.818626655333334,0
13161,COMMERCIAL,Retail,GEO_2,2.818552701,0
13162,ENTERPRISE,Energy/Utilities,GEO_1,2.81765246225,1
13163,COMMERCIAL,Professional Services,GEO_2,2.817644686,0
13164,COMMERCIAL,Manufacturing,GEO_1,2.8171378635,0
13165,COMMERCIAL,Transportation,GEO_1,2.816796859,0
13166,PUBLIC SECTOR,Unknown,GEO_1,2.816796859,0
13167,PUBLIC SECTOR,Media/Entertainment,GEO_1,2.816796859,1
13168,ENTERPRISE,Manufacturing,GEO_3,2.8167878626666667,1
13169,SMB,Technical Services,GEO_2,2.816714035,0
13170,PUBLIC SECTOR,Education- Public/Private,GEO_2,2.8163683485,0
13171,COMMERCIAL,Government,GEO_1,2.816258358,0
13172,COMMERCIAL,Financial Services,GEO_1,2.816258358,0
13173,COMMERCIAL,Manufacturing,GEO_1,2.816237322,0
13174,PUBLIC SECTOR,Health Care,GEO_1,2.816216907,0
13175,COMMERCIAL,Retail,GEO_2,2.816154724,0
13176,SMB,Professional Services,GEO_2,2.816070303,1
13177,ENTERPRISE,Financial Services,GEO_3,2.815858568,0
13178,COMMERCIAL,Financial Services,GEO_1,2.815479432,1
13179,COMMERCIAL,Financial Services,GEO_1,2.81540509,0
13180,COMMERCIAL,Financial Services,GEO_2,2.8152105685,0
13181,PUBLIC SECTOR,Government,GEO_2,2.814964326,0
13182,COMMERCIAL,WholeSale/Distribution,GEO_2,2.8149544815,0
13183,ENTERPRISE,Financial Services,GEO_2,2.8149268305,1
13184,COMMERCIAL,Manufacturing,GEO_1,2.814784422,0
13185,PUBLIC SECTOR,Media/Entertainment,GEO_1,2.81449262,0
13186,PUBLIC SECTOR,Government,GEO_2,2.813931037,0
13187,COMMERCIAL,Transportation,GEO_2,2.813702131,1
13188,COMMERCIAL,Professional Services,GEO_2,2.8136746235,0
13189,ENTERPRISE,Retail,GEO_2,2.813298585,1
13190,COMMERCIAL,Financial Services,GEO_1,2.8132714180000002,0
13191,PUBLIC SECTOR,Government,GEO_3,2.8131082505,1
13192,COMMERCIAL,Professional Services,GEO_2,2.81290892,0
13193,COMMERCIAL,Professional Services,GEO_2,2.8127360365,1
13194,PUBLIC SECTOR,Professional Services,GEO_2,2.8127360365,1
13195,SMB,Technical Services,GEO_2,2.8127360365,1
13196,PUBLIC SECTOR,Government,GEO_2,2.8127360365,1
13197,SMB,Professional Services,GEO_2,2.8127360365,1
13198,PUBLIC SECTOR,Government,GEO_2,2.8127360365,1
13199,PUBLIC SECTOR,Retail,GEO_2,2.8127360365,1
13200,COMMERCIAL,Professional Services,GEO_2,2.8127360365,1
13201,COMMERCIAL,Professional Services,GEO_2,2.8127360365,1
13202,SMB,Unknown,GEO_1,2.812261016,0
